DiscTag,1,2,3,4
3D61534920CB8,0,0,0,1
3D61534920CBA,0,0,0,1
3D61534920CBB,0,0,1,0
3D61534920CBC,0,0,0,1
3D61534920CBE,0,0,1,0
3D61534920CC0,0,0,0,1
3D61534920CC1,0,0,0,1
3D61534920CC2,0,0,1,0
3D61534920CC3,0,0,0,1
3D61534920CC4,0,0,0,1
3D61534920CC5,0,0,0,1
3D61534A21943,1,0,0,0
3D61534A21944,1,0,0,0
3D61534A21945,0,0,1,0
3D61534A21946,1,0,0,0
3D61534A21947,1,0,0,0
3D61534A21948,1,0,0,0
3D61534A21949,1,0,0,0
3D61534A2194A,1,0,0,0
3D61534A2194B,1,0,0,0
3D61534A2194C,1,0,0,0
3D61534A2194D,1,0,0,0
3D61534A2194E,0,0,1,0
3D61534A2194F,1,0,0,0
3D61534A21950,1,0,0,0
3D61534A21951,1,0,0,0
3D61534A21952,1,0,0,1
3D61534A21953,1,0,0,0
3D61534A21954,1,0,0,0
3D61534A21955,1,0,0,0
3D61534A21957,1,0,0,0
3D61534A21958,1,0,0,0
3D61534A21959,1,0,0,0
3D61534A2195A,1,0,0,0
3D61534A2195B,1,0,0,0
3D61534A2195D,1,0,1,0
3D61534A2195E,1,0,0,0
3D61534A2195F,1,0,1,0
3D61534A21960,1,0,0,0
3D61534A21961,1,0,0,0
3D61534A21962,1,0,0,0
3D61534A21963,1,0,0,0
3D61534A21964,1,0,0,0
3D61534A21965,1,0,0,0
3D61534A21966,1,0,0,0
3D61534A21967,1,0,0,0
3D61534A21968,1,0,0,0
3D61534A21969,1,0,0,0
3D61534A2196A,1,0,0,0
3D61534A2196B,1,0,0,0
3D61534A2196C,0,0,1,0
3D61534A2196D,1,0,0,0
3D61534A2196E,1,0,0,0
3D61534A2196F,1,0,0,0
3D61534A21970,1,0,0,0
3D61534A21971,1,0,0,0
3D61534A21972,1,0,0,0
3D61534A21973,0,0,1,0
3D61534A21974,1,0,0,0
3D61534A21975,1,0,1,0
3D61534A21976,1,0,0,0
3D61534A21977,1,0,0,0
3D61534A21978,1,0,0,0
3D61534A21979,1,0,0,0
3D61534A2197A,1,0,0,0
3D61534A2197B,1,0,0,0
3D61534A2197C,1,0,0,0
3D61534A2197D,1,0,0,0
3D61534A2197E,1,0,0,0
3D61534A2197F,1,0,0,0
3D61534A21980,1,0,0,0
3D61534A21981,1,0,0,0
3D61534A21982,1,0,0,0
3D61534A21983,1,0,0,0
3D61534A21984,1,0,1,0
3D61534A21985,1,0,0,0
3D61534A21986,1,0,0,0
3D61534A21987,0,1,0,0
3D61534A21988,1,0,0,0
3D61534A21989,1,0,0,0
3D61534A2198A,1,0,0,0
3D61534A2198B,1,0,0,0
3D61534A2198C,1,0,0,0
3D61534A2198D,1,0,0,0
3D61534A2198E,1,0,0,0
3D61534A2198F,1,0,0,0
3D61534A21990,1,0,0,0
3D61534A21991,1,0,0,0
3D61534A21992,1,0,0,0
3D61534A21993,1,0,0,0
3D61534A21995,1,0,0,0
3D61534A21996,1,0,0,0
3D61534A21997,1,0,0,0
3D61534A21998,1,0,0,0
3D61534A21999,1,0,0,0
3D61534A2199A,1,0,0,0
3D61534A2199B,1,0,0,0
3D61534A2199C,1,0,0,0
3D61534A2199E,1,0,0,0
3D61534A2199F,1,0,0,0
3D61534A219A0,1,0,0,0
3D61534A219A1,1,0,0,0
3D61534A219A2,1,0,0,0
3D61534A219A3,1,0,0,0
3D61534A219A4,1,0,0,0
3D61534A219A5,1,0,0,0
3D61534A219A6,1,0,0,0
3D61534A219A7,0,0,1,0
3D61534A219A8,0,0,1,0
3D61534A219A9,0,0,1,0
3D61534A219AA,0,0,1,0
3D61534A219AB,0,0,1,0
3D61534A219AC,0,0,1,0
3D61534A219AD,0,0,1,0
3D61534A219AF,0,0,1,0
3D61534A219B0,0,0,1,0
3D61534A219B1,0,0,1,0
3D61534A219B2,0,0,1,0
3D61534A219B3,0,0,1,1
3D61534A219B4,0,0,1,0
3D61534A219B5,0,0,1,0
3D61534A219B6,0,0,1,0
3D61534A219B7,0,0,1,0
3D61534A219B8,0,0,1,0
3D61534A219B9,0,0,1,0
3D61534A219BA,0,0,1,0
