DiscTag,sex,length
3D61534BAF88C,M,125
3D61534BAF88D,M,132
3D61534BAF88E,M,155
3D61534BAF88F,M,114
3D61534BAF890,M,155
3D61534BAF891,M,165
3D61534BAF892,M,114
3D61534BAF893,M,140
3D61534BAF894,M,158
3D61534BAF895,M,161
3D61534BAF896,M,197
3D61534BAF897,M,150
3D61534BAF899,M,110
3D61534BAF89A,M,180
3D61534BAF89B,M,150
3D61534BAF89C,M,101
3D61534BAF89D,M,117
3D61534BAF89E,M,84
3D61534BAF89F,M,178
3D61534BAF8A0,M,176
3D61534BAF8A1,M,140
3D61534BAF8A2,M,193
3D61534BAF8A3,M,115
3D61534BAF8A4,M,140
3D61534BAF8A5,M,170
3D61534BAF8A7,M,125
3D61534BAF8A8,M,79
3D61534BAF8A9,M,162
3D61534BAF8AA,M,92
3D61534BAF8AB,M,140
3D61534BAF8AC,M,105
3D61534BAF8AD,M,90
3D61534BAF8AE,M,104
3D61534BAF8AF,M,137
3D61534BAF8B0,M,109
3D61534BAF8B1,M,122
3D61534BAF8B2,M,129
3D61534BAF8B3,M,113
3D61534BAF8B4,M,146
3D61534BAF8B5,M,124
3D61534BAF8B6,M,184
3D61534BAF8B7,M,140
3D61534BAF8B8,M,229
3D61534BAF8B9,M,64
3D61534BAF8BA,M,132
3D61534BAF8BB,M,112
3D61534BAF8BC,M,178
3D61534BAF8BD,M,104
3D61534BAF8BE,M,167
3D61534BAF8BF,M,196
3D61534BAF8C0,M,91
3D61534BAF8C1,M,147
3D61534BAF8C2,M,107
3D61534BAF8C3,M,163
3D61534BAF8C4,M,155
3D61534BAF8C5,M,135
3D61534BAF8C6,M,104
3D61534BAF8C7,M,109
3D61534BAF8C8,M,186
3D61534BAF8C9,M,127
3D61534BAF8CA,M,122
3D61534BAF8CB,M,122
3D61534BAF8CC,M,132
3D61534BAF8CD,M,174
3D61534BAF8CE,M,160
3D61534BAF8CF,M,150
3D61534BAF8D0,M,155
3D61534BAF8D1,M,158
3D61534BAF8D2,M,94
3D61534BAF8D3,M,170
3D61534BAF8D4,M,99
3D61534BAF8D5,M,129
3D61534BAF8D7,M,154
3D61534BAF8D8,M,149
3D61534BAF8D9,M,115
3D61534BAF8DA,M,165
3D61534BAF8DB,M,64
3DD0077BF86CA,M,100
384349EA85861,F,114
384349EB937F5,F,91
384349EB9CC33,F,111
384349EBB0F6A,F,100
384349EBB0FF6,F,104
384349EBB0FFE,F,60.5
384349EBB1004,F,107
384349EBB1010,F,129
384349EBB102A,F,94
384349EBB1040,F,99.5
384349EBB1089,F,79
384349EBB108C,F,87
3843515DC8AB7,F,111
3843515DC8AEA,F,105
3843515DC8B12,F,98
3843515DC8B19,F,130
3843515DC8B1A,F,106
3D504A817E586,F,142
3D504A817F8FF,F,155
3D504A818177A,F,106
3D504A8181A56,F,144
3D504A8181CEA,F,132
3D504A8185792,F,97
3D600181F315E,F,86
3D615343DBE40,F,112
3D615343DBE5A,F,98
3D615343DBE69,F,120.5
3D615343DBE8B,F,89
3D615343DBF15,F,88
3D615343DBF2A,F,101
3D615343DBF56,F,78
3D61534920C63,F,158
3D61534920C64,F,142.5
3D61534920C65,F,122
3D61534920C66,F,104
3D61534920C69,F,94
3D61534920C6A,F,112
3D61534920C6F,F,89
3D61534920C70,F,118.5
3D61534920C71,F,101
3D61534920C72,F,161.5
3D61534920C73,F,116.5
3D61534920C74,F,89.5
3D61534920C75,F,112.5
3D61534920C76,F,160.5
3D61534920C77,F,85
3D61534920C78,F,55
3D61534920C79,F,138
3D61534920C7A,F,130
3D61534920C7C,F,174
3D61534920C7D,F,177
3D61534920C7F,F,93.5
3D61534920C80,F,87.5
3D61534920C81,F,160.25
3D61534920C82,F,88.5
3D61534920C83,F,55
3D61534920C85,F,129
3D61534920C8B,F,166
3D61534920C8C,F,147.5
3D61534920C8E,F,164
3D61534920C90,F,122.5
3D61534920C91,F,115
3D61534920C92,F,113
3D61534920C93,F,130
3D61534920C96,F,102.5
3D61534920C97,F,134
3D61534920C98,F,135.5
3D61534920C9A,F,158.5
3D61534920C9B,F,158
3D61534920C9C,F,102.5
3D61534920C9E,F,77.6
3D61534920C9F,F,148
3D61534920CA1,F,121
3D61534920CA2,F,168
3D61534920CA3,F,146
